DEPT,BS,CALI,GR,SP,RESS,RESM,RESD,DENS,NEUT,PEF,DRHO,DTC
18.2,17.5,,28.67,,,,,,,,,
18.3,17.5,,29.034,,,,,,,,,
18.4,17.5,,28.946,,,,,,,,,
18.5,17.5,,28.832,,,,,,,,,
18.6,17.5,,28.525,,,,,,,,,
18.7,17.5,,28.668,,,,,,,,,
18.8,17.5,,29.079,,,,,,,,,
18.9,17.5,,29.211,,,,,,,,,
19.0,17.5,,29.168,,,,,,,,,
19.1,17.5,,28.895,,,,,,,,,
19.2,17.5,,28.599,,,,,,,,,
19.3,17.5,,28.037,,,,,,,,,
19.4,17.5,,27.756,,,,,,,,,
19.5,17.5,,27.936,,,,,,,,,
19.6,17.5,,28.43,,,,,,,,,
19.7,17.5,,28.779,,,,,,,,,
19.8,17.5,,28.925,,,,,,,,,
19.9,17.5,,28.896,,,,,,,,,
20.0,17.5,,28.928,,,,,,,,,
20.1,17.5,,28.886,,,,,,,,,
20.2,17.5,,28.721,,,,,,,,,
20.3,17.5,,28.933,,,,,,,,,
20.4,17.5,,28.847,,,,,,,,,
20.5,17.5,,28.71,,,,,,,,,
20.6,17.5,,27.836,,,,,,,,,
20.7,17.5,,27.305,,,,,,,,,
20.8,17.5,,26.742,,,,,,,,,
20.9,17.5,,26.597,,,,,,,,,
21.0,17.5,,25.977,,,,,,,,,
21.1,17.5,,26.507,,,,,,,,,
21.2,17.5,,26.91,,,,,,,,,
21.3,17.5,,27.37,,,,,,,,,
21.4,17.5,,27.238,,,,,,,,,
21.5,17.5,,28.069,,,,,,,,,
21.6,17.5,,28.413,,,,,,,,,
21.7,17.5,,28.871,,,,,,,,,
21.8,17.5,,28.221,,,,,,,,,
21.9,17.5,,28.648,,,,,,,,,
22.0,17.5,,27.984,,,,,,,,,
22.1,17.5,,27.115,,,,,,,,,
22.2,17.5,,25.718,,,,,,,,,
22.3,17.5,,24.818,,,,,,,,,
22.4,17.5,,24.413,,,,,,,,,
22.5,17.5,,24.115,,,,,,,,,
22.6,17.5,,24.639,,,,,,,,,
22.7,17.5,,25.299,,,,,,,,,
22.8,17.5,,26.782,,,,,,,,,
22.9,17.5,,27.925,,,,,,,,,
23.0,17.5,,29.425,,,,,,,,,
23.1,17.5,,30.591,,,,,,,,,
23.2,17.5,,31.389,,,,,,,,,
23.3,17.5,,30.915,,,,,,,,,
23.4,17.5,,30.404,,,,,,,,,
23.5,17.5,,30.18,,,,,,,,,
23.6,17.5,,29.923,,,,,,,,,
23.7,17.5,,28.887,,,,,,,,,
23.8,17.5,,28.109,,,,,,,,,
23.9,17.5,,26.927,,,,,,,,,
24.0,17.5,,26.255,,,,,,,,,
24.1,17.5,,26.161,,,,,,,,,
24.2,17.5,,28.038,,,,,,,,,
24.3,17.5,,30.053,,,,,,,,,
24.4,17.5,,31.628,,,,,,,,,
24.5,17.5,,32.038,,,,,,,,,
24.6,17.5,,31.905,,,,,,,,,
24.7,17.5,,31.322,,,,,,,,,
24.8,17.5,,31.15,,,,,,,,,
24.9,17.5,,31.605,,,,,,,,,
25.0,17.5,,32.241,,,,,,,,,
25.1,17.5,,32.576,,,,,,,,,
25.2,17.5,,32.375,,,,,,,,,
25.3,17.5,,31.676,,,,,,,,,
25.4,17.5,,30.168,,,,,,,,,
25.5,17.5,,28.933,,,,,,,,,
25.6,17.5,,27.504,,,,,,,,,
25.7,17.5,,26.556,,,,,,,,,
25.8,17.5,,25.455,,,,,,,,,
25.9,17.5,,25.312,,,,,,,,,
26.0,17.5,,25.622,,,,,,,,,
26.1,17.5,,26.316,,,,,,,,,
26.2,17.5,,27.667,,,,,,,,,
26.3,17.5,,29.188,,,,,,,,,
26.4,17.5,,30.634,,,,,,,,,
26.5,17.5,,31.234,,,,,,,,,
26.6,17.5,,31.996,,,,,,,,,
26.7,17.5,,32.04,,,,,,,,,
26.8,17.5,,31.889,,,,,,,,,
26.9,17.5,,31.24,,,,,,,,,
27.0,17.5,,30.609,,,,,,,,,
27.1,17.5,,29.208,,,,,,,,,
27.2,17.5,,27.604,,,,,,,,,
27.3,17.5,,26.597,,,,,,,,,
27.4,17.5,,25.828,,,,,,,,,
27.5,17.5,,25.295,,,,,,,,,
27.6,17.5,,25.236,,,,,,,,,
27.7,17.5,,25.692,,,,,,,,,
27.8,17.5,,25.829,,,,,,,,,
27.9,17.5,,25.87,,,,,,,,,
28.0,17.5,,26.088,,,,,,,,,
28.1,17.5,,26.939,,,,,,,,,
28.2,17.5,,27.73,,,,,,,,,
28.3,17.5,,28.375,,,,,,,,,
28.4,17.5,,29.635,,,,,,,,,
28.5,17.5,,30.303,,,,,,,,,
28.6,17.5,,30.379,,,,,,,,,
28.7,17.5,,29.302,,,,,,,,,
28.8,17.5,,28.705,,,,,,,,,
28.9,17.5,,28.289,,,,,,,,,
29.0,17.5,,28.233,,,,,,,,,
29.1,17.5,,27.669,,,,,,,,,
29.2,17.5,,26.787,,,,,,,,,
29.3,17.5,,25.029,,,,,,,,,
29.4,17.5,,22.992,,,,,,,,,
29.5,17.5,,22.007,,,,,,,,,
29.6,17.5,,23.448,,,,,,,,,
29.7,17.5,,24.96,,,,,,,,,
29.8,17.5,,26.877,,,,,,,,,
29.9,17.5,,26.628,,,,,,,,,
30.0,17.5,,26.413,,,,,,,,,
30.1,17.5,,24.845,,,,,,,,,
30.2,17.5,,24.928,,,,,,,,,
30.3,17.5,,25.002,,,,,,,,,
30.4,17.5,,26.459,,,,,,,,,
30.5,17.5,,27.135,,,,,,,,,
30.6,17.5,,27.598,,,,,,,,,
30.7,17.5,,27.251,,,,,,,,,
30.8,17.5,,26.857,,,,,,,,,
30.9,17.5,,27.448,,,,,,,,,
31.0,17.5,,28.258,,,,,,,,,
31.1,17.5,,29.121,,,,,,,,,
31.2,17.5,,29.261,,,,,,,,,
31.3,17.5,,28.755,,,,,,,,,
31.4,17.5,,27.482,,,,,,,,,
31.5,17.5,,26.399,,,,,,,,,
31.6,17.5,,25.78,,,,,,,,,
31.7,17.5,,25.819,,,,,,,,,
31.8,17.5,,26.958,,,,,,,,,
31.9,17.5,,28.585,,,,,,,,,
32.0,17.5,,29.683,,,,,,,,,
32.1,17.5,,29.532,,,,,,,,,
32.2,17.5,,29.276,,,,,,,,,
32.3,17.5,,29.535,,,,,,,,,
32.4,17.5,,29.184,,,,,,,,,
32.5,17.5,,28.854,,,,,,,,,
32.6,17.5,,28.682,,,,,,,,,
32.7,17.5,,28.955,,,,,,,,,
32.8,17.5,,27.938,,,,,,,,,
32.9,17.5,,26.901,,,,,,,,,
33.0,17.5,,25.622,,,,,,,,,
33.1,17.5,,25.194,,,,,,,,,
33.2,17.5,,25.213,,,,,,,,,
33.3,17.5,,26.703,,,,,,,,,
33.4,17.5,,28.338,,,,,,,,,
33.5,17.5,,29.133,,,,,,,,,
33.6,17.5,,28.259,,,,,,,,,
33.7,17.5,,26.577,,,,,,,,,
33.8,17.5,,24.867,,,,,,,,,
33.9,17.5,,23.956,,,,,,,,,
34.0,17.5,,24.065,,,,,,,,,
34.1,17.5,,25.068,,,,,,,,,
34.2,17.5,,25.905,,,,,,,,,
34.3,17.5,,25.751,,,,,,,,,
34.4,17.5,,25.223,,,,,,,,,
34.5,17.5,,25.229,,,,,,,,,
34.6,17.5,,26.195,,,,,,,,,
34.7,17.5,,28.152,,,,,,,,,
34.8,17.5,,29.86,,,,,,,,,
34.9,17.5,,31.212,,,,,,,,,
35.0,17.5,,30.738,,,,,,,,,
35.1,17.5,,29.446,,,,,,,,,
35.2,17.5,,27.181,,,,,,,,,
35.3,17.5,,25.931,,,,,,,,,
35.4,17.5,,25.447,,,,,,,,,
35.5,17.5,,26.931,,,,,,,,,
35.6,17.5,,28.06,,,,,,,,,
35.7,17.5,,28.6,,,,,,,,,
35.8,17.5,,28.801,,,,,,,,,
35.9,17.5,,28.559,,,,,,,,,
36.0,17.5,,28.389,,,,,,,,,
36.1,17.5,,28.297,,,,,,,,,
36.2,17.5,,29.351,,,,,,,,,
36.3,17.5,,30.681,,,,,,,,,
36.4,17.5,,30.959,,,,,,,,,
36.5,17.5,,30.286,,,,,,,,,
36.6,17.5,,29.59,,,,,,,,,
36.7,17.5,,29.768,,,,,,,,,
36.8,17.5,,29.696,,,,,,,,,
36.9,17.5,,30.691,,,,,,,,,
37.0,17.5,,32.161,,,,,,,,,
37.1,17.5,,34.506,,,,,,,,,
37.2,17.5,,35.223,,,,,,,,,
37.3,17.5,,35.006,,,,,,,,,
37.4,17.5,,34.368,,,,,,,,,
37.5,17.5,,33.974,,,,,,,,,
37.6,17.5,,32.377,,,,,,,,,
37.7,17.5,,30.743,,,,,,,,,
37.8,17.5,,30.593,,,,,,,,,
37.9,17.5,,31.708,,,,,,,,,
38.0,17.5,,32.774,,,,,,,,,
38.1,17.5,,33.06,,,,,,,,,
38.2,17.5,,34.18,,,,,,,,,
38.3,17.5,,34.664,,,,,,,,,
38.4,17.5,,34.939,,,,,,,,,
38.5,17.5,,33.263,,,,,,,,,
38.6,17.5,,32.713,,,,,,,,,
38.7,17.5,,31.386,,,,,,,,,
38.8,17.5,,30.878,,,,,,,,,
38.9,17.5,,29.548,,,,,,,,,
39.0,17.5,,29.801,,,,,,,,,
39.1,17.5,,29.993,,,,,,,,,
39.2,17.5,,30.921,,,,,,,,,
39.3,17.5,,30.713,,,,,,,,,
39.4,17.5,,30.563,,,,,,,,,
39.5,17.5,,30.631,,,,,,,,,
39.6,17.5,,31.275,,,,,,,,,
39.7,17.5,,31.8,,,,,,,,,
39.8,17.5,,31.531,,,,,,,,,
39.9,17.5,,32.316,,,,,,,,,
40.0,17.5,,32.68,,,,,,,,,
40.1,17.5,,33.229,,,,,,,,,
40.2,17.5,,32.31,,,,,,,,,
40.3,17.5,,32.523,,,,,,,,,
40.4,17.5,,31.132,,,,,,,,,
40.5,17.5,,29.703,,,,,,,,,
40.6,17.5,,28.056,,,,,,,,,
40.7,17.5,,27.569,,,,,,,,,
40.8,17.5,,27.578,,,,,,,,,
40.9,17.5,,27.411,,,,,,,,,
41.0,17.5,,27.733,,,,,,,,,
41.1,17.5,,28.585,,,,,,,,,
41.2,17.5,,29.636,,,,,,,,,
41.3,17.5,,30.807,,,,,,,,,
41.4,17.5,,31.823,,,,,,,,,
41.5,17.5,,33.078,,,,,,,,,
41.6,17.5,,33.145,,,,,,,,,
41.7,17.5,,33.089,,,,,,,,,
41.8,17.5,,31.721,,,,,,,,,
41.9,17.5,,31.088,,,,,,,,,
42.0,12.25,,29.841,,,,,,,,,
42.1,12.25,,29.512,,,,,,,,,
42.2,12.25,,29.804,,,,,,,,,
42.3,12.25,,30.715,,,,,,,,,
42.4,12.25,,31.569,,,,,,,,,
42.5,12.25,,32.577,,,,,,,,,
42.6,12.25,,32.939,,,,,,,,,
42.7,12.25,,32.62,,,,,,,,,
42.8,12.25,,32.471,,,,,,,,,
42.9,12.25,,33.14,,,,,,,,,
43.0,12.25,,33.817,,,,,,,,,
43.1,12.25,,34.017,,,,,,,,,
43.2,12.25,,34.547,,,,,,,,,
43.3,12.25,,35.12,,,,,,,,,
43.4,12.25,,34.413,,,,,,,,,
43.5,12.25,,32.984,,,,,,,,,
43.6,12.25,,32.325,,,,,,,,,
43.7,12.25,,32.131,,,,,,,,,
43.8,12.25,,31.368,,,,,,,,,
43.9,12.25,,30.436,,,,,,,,,
44.0,12.25,,29.909,,,,,,,,,
44.1,12.25,,30.148,,,,,,,,,
44.2,12.25,,31.294,,,,,,,,,
44.3,12.25,,32.998,,,,,,,,,
44.4,12.25,,34.211,,,,,,,,,
44.5,12.25,,34.189,,,,,,,,,
44.6,12.25,,33.103,,,,,,,,,
44.7,12.25,,31.064,,,,,,,,,
44.8,12.25,,28.774,,,,,,,,,
44.9,12.25,,27.509,,,,,,,,,
45.0,12.25,,27.012,,,,,,,,,
45.1,12.25,,27.003,,,,,,,,,
45.2,12.25,,26.409,,,,,,,,,
45.3,12.25,,26.419,,,,,,,,,
45.4,12.25,,26.951,,,,,,,,,
45.5,12.25,,28.497,,,,,,,,,
45.6,12.25,,29.94,,,,,,,,,
45.7,12.25,,31.034,,,,,,,,,
45.8,12.25,,31.698,,,,,,,,,
45.9,12.25,,31.85,,,,,,,,,
46.0,12.25,,31.79,,,,,,,,,
46.1,12.25,,31.193,,,,,,,,,
46.2,12.25,,31.52,,,,,,,,,
46.3,12.25,,31.365,,,,,,,,,
46.4,12.25,,31.518,,,,,,,,,
46.5,12.25,,30.762,,,,,,,,,
46.6,12.25,,30.159,,,,,,,,,
46.7,12.25,,28.882,,,,,,,,,
46.8,12.25,,28.113,,,,,,,,,
46.9,12.25,,28.173,,,,,,,,,
47.0,12.25,,28.685,,,,,,,,,
47.1,12.25,,29.691,,,,,,,,,
47.2,12.25,,30.307,,,,,,,,,
47.3,12.25,,30.849,,,,,,,,,
47.4,12.25,,30.279,,,,,,,,,
47.5,12.25,,30.333,,,,,,,,,
47.6,12.25,,29.917,,,,,,,,,
47.7,12.25,,30.482,,,,,,,,,
47.8,12.25,,30.105,,,,,,,,,
47.9,12.25,,30.412,,,,,,,,,
48.0,12.25,,30.491,,,,,,,,,
48.1,12.25,,31.244,,,,,,,,,
48.2,12.25,,31.362,,,,,,,,,
48.3,12.25,,31.867,,,,,,,,,
48.4,12.25,,32.008,,,,,,,,,
48.5,12.25,,31.797,,,,,,,,,
48.6,12.25,,30.88,,,,,,,,,
48.7,12.25,,29.556,,,,,,,,,
48.8,12.25,,28.579,,,,,,,,,
48.9,12.25,,28.142,,,,,,,,,
49.0,12.25,,28.663,,,,,,,,,
49.1,12.25,,29.462,,,,,,,,,
49.2,12.25,,30.265,,,,,,,,,
49.3,12.25,,31.185,,,,,,,,,
49.4,12.25,,31.123,,,,,,,,,
49.5,12.25,,30.399,,,,,,,,,
49.6,12.25,,29.611,,,,,,,,,
49.7,12.25,,30.192,,,,,,,,,
49.8,12.25,,30.388,,,,,,,,,
49.9,12.25,,30.462,,,,,,,,,
50.0,12.25,,30.631,,,,,,,,,
50.1,12.25,,30.167,,,,,,,,,
50.2,12.25,,28.537,,,,,,,,,
50.3,12.25,,27.389,,,,,,,,,
50.4,12.25,,28.202,,,,,,,,,
50.5,12.25,,29.535,,,,,,,,,
50.6,12.25,,31.243,,,,,,,,,
50.7,12.25,,33.362,,,,,,,,,
50.8,12.25,,35.805,,,,,,,,,
50.9,12.25,,37.458,,,,,,,,,
51.0,12.25,,37.59,,,,,,,,,
51.1,12.25,,38.379,,,,,,,,,
51.2,12.25,,38.484,,,,,,,,,
51.3,12.25,,38.528,,,,,,,,,
51.4,12.25,,37.24,,,,,,,,,
51.5,12.25,,36.437,,,,,,,,,
51.6,12.25,,35.029,,,,,,,,,
51.7,12.25,,34.224,,,,,,,,,
51.8,12.25,,32.408,,,,,,,,,
51.9,12.25,,32.054,,,,,,,,,
52.0,12.25,,31.842,,,,,,,,,
52.1,12.25,,33.653,,,,,,,,,
52.2,12.25,,34.75,,,,,,,,,
52.3,12.25,,37.026,,,,,,,,,
52.4,12.25,,37.986,,,,,,,,,
52.5,12.25,,39.455,,,,,,,,,
52.6,12.25,,38.467,,,,,,,,,
52.7,12.25,,37.222,,,,,,,,,
52.8,12.25,,34.829,,,,,,,,,
52.9,12.25,,33.467,,,,,,,,,
53.0,12.25,,33.256,,,,,,,,,
53.1,12.25,,34.327,,,,,,,,,
53.2,12.25,,35.714,,,,,,,,,
53.3,12.25,,37.019,,,,,,,,,
53.4,12.25,,37.179,,,,,,,,,
53.5,12.25,,36.599,,,,,,,,,
53.6,12.25,,35.225,,,,,,,,,
53.7,12.25,,35.45,,,,,,,,,
53.8,12.25,,35.803,,,,,,,,,
53.9,12.25,,37.216,,,,,,,,,
54.0,12.25,,36.871,,,,,,,,,
54.1,12.25,,36.801,,,,,,,,,
54.2,12.25,,35.822,,,,,,,,,
54.3,12.25,,35.594,,,,,,,,,
54.4,12.25,,34.232,,,,,,,,,
54.5,12.25,,33.861,,,,,,,,,
54.6,12.25,,34.375,,,,,,,,,
54.7,12.25,,35.528,,,,,,,,,
54.8,12.25,,35.28,,,,,,,,,
54.9,12.25,,35.428,,,,,,,,,
55.0,12.25,,35.559,,,,,,,,,
55.1,12.25,,35.393,,,,,,,,,
55.2,12.25,,33.504,,,,,,,,,
55.3,12.25,,32.694,,,,,,,,,
55.4,12.25,,32.873,,,,,,,,,
55.5,12.25,,33.494,,,,,,,,,
55.6,12.25,,33.826,,,,,,,,,
55.7,12.25,,34.64,,,,,,,,,
55.8,12.25,,35.436,,,,,,,,,
55.9,12.25,,35.663,,,,,,,,,
56.0,12.25,,35.754,,,,,,,,,
56.1,12.25,,35.625,,,,,,,,,
56.2,12.25,,36.142,,,,,,,,,
56.3,12.25,,35.454,,,,,,,,,
56.4,12.25,,35.405,,,,,,,,,
56.5,12.25,,34.805,,,,,,,,,
56.6,12.25,,34.622,,,,,,,,,
56.7,12.25,,33.121,,,,,,,,,
56.8,12.25,,32.521,,,,,,,,,
56.9,12.25,,32.074,,,,,,,,,
57.0,12.25,,32.613,,,,,,,,,
57.1,12.25,,34.298,,,,,,,,,
57.2,12.25,,36.968,,,,,,,,,
57.3,12.25,,40.998,,,,,,,,,
57.4,12.25,,43.422,,,,,,,,,
57.5,12.25,,44.627,,,,,,,,,
57.6,12.25,,42.734,,,,,,,,,
57.7,12.25,,40.268,,,,,,,,,
57.8,12.25,,37.786,,,,,,,,,
57.9,12.25,,36.924,,,,,,,,,
58.0,12.25,,36.526,,,,,,,,,
58.1,12.25,,36.565,,,,,,,,,
58.2,12.25,,37.432,,,,,,,,,
58.3,12.25,,37.353,,,,,,,,,
58.4,12.25,,36.756,,,,,,,,,
58.5,12.25,,35.956,,,,,,,,,
58.6,12.25,,36.925,,,,,,,,,
58.7,12.25,,37.662,,,,,,,,,
58.8,12.25,,38.159,,,,,,,,,
58.9,12.25,,37.509,,,,,,,,,
59.0,12.25,,36.922,,,,,,,,,
59.1,12.25,,35.864,,,,,,,,,
59.2,12.25,,35.252,,,,,,,,,
59.3,12.25,,34.795,,,,,,,,,
59.4,12.25,,34.997,,,,,,,,,
59.5,12.25,,35.018,,,,,,,,,
59.6,12.25,,35.894,,,,,,,,,
59.7,12.25,,35.491,,,,,,,,,
59.8,12.25,,35.532,,,,,,,,,
59.9,12.25,,34.531,,,,,,,,,
60.0,12.25,,33.959,,,,,,,,,
60.1,12.25,,32.062,,,,,,,,,
60.2,12.25,,31.847,,,,,,,,,
60.3,12.25,,31.679,,,,,,,,,
60.4,12.25,,32.126,,,,,,,,,
60.5,12.25,,32.385,,,,,,,,,
60.6,12.25,,32.525,,,,,,,,,
60.7,12.25,,32.014,,,,,,,,,
60.8,12.25,,31.058,,,,,,,,,
60.9,12.25,,31.273,,,,,,,,,
61.0,12.25,,33.277,,,,,,,,,
61.1,12.25,,35.381,,,,,,,,,
61.2,12.25,,36.726,,,,,,,,,
61.3,12.25,,37.056,,,,,,,,,
61.4,12.25,,36.665,,,,,,,,,
61.5,12.25,,34.531,,,,,,,,,
61.6,12.25,,33.149,,,,,,,,,
61.7,12.25,,32.393,,,,,,,,,
61.8,12.25,,33.194,,,,,,,,,
61.9,12.25,,33.295,,,,,,,,,
62.0,12.25,,32.947,,,,,,,,,
62.1,12.25,,32.271,,,,,,,,,
62.2,12.25,,31.064,,,,,,,,,
62.3,12.25,,29.904,,,,,,,,,
62.4,12.25,,28.839,,,,,,,,,
62.5,12.25,,29.778,,,,,,,,,
62.6,12.25,,30.558,,,,,,,,,
62.7,12.25,,32.539,,,,,,,,,
62.8,12.25,,33.133,,,,,,,,,
62.9,12.25,,34.191,,,,,,,,,
63.0,12.25,,33.807,,,,,,,,,
63.1,12.25,,33.453,,,,,,,,,
63.2,12.25,,32.375,,,,,,,,,
63.3,12.25,,32.745,,,,,,,,,
63.4,12.25,,33.73,,,,,,,,,
63.5,12.25,,35.267,,,,,,,,,
63.6,12.25,,36.154,,,,,,,,,
63.7,12.25,,36.109,,,,,,,,,
