DEPTH,BS,CALI,GR,SP,RESS,RESM,RESD,DENS,NEUT,PEF,DRHO,DTC
122.987,12.25,,47.749,,,,,,,,,
123.139,12.25,,49.795,,,,,,,,,
123.292,12.25,,51.705,,,,,,,,,
123.444,12.25,,53.377,,,,,,,,,
123.596,12.25,,54.195,,,,,,,,,
123.749,12.25,,52.695,,,,,,,,,
123.901,12.25,,54.246,,,,,,,,,
124.054,12.25,,53.888,,,,,,,,,
124.206,12.25,,56.702,,,,,,,,,
124.358,12.25,,54.946,,,,,,,,,
124.511,12.25,,51.245,,,,,,,,,
124.663,12.25,,51.125,,,,,,,,,
124.816,12.25,,47.161,,,,,,,,,
124.968,12.25,,48.354,,,,,,,,,
125.12,12.25,,44.177,,,,,,,,,
125.273,12.25,,44.526,,,,,,,,,
125.425,12.25,,44.526,,,,,,,,,
125.578,12.25,,45.6,,,,,,,,,
125.73,12.25,,48.107,,,,,,,,,
125.882,12.25,,45.839,,,,,,,,,
126.035,12.25,,47.655,,,,,,,,,
126.187,12.25,,45.626,,,,,,,,,
126.34,12.25,,47.655,,,,,,,,,
126.492,12.25,,46.377,,,,,,,,,
126.644,12.25,,48.883,,,,,,,,,
126.797,12.25,,49.6,,,,,,,,,
126.949,12.25,,52.644,,,,,,,,,
127.102,12.25,,54.809,,,,,,,,,
127.254,12.25,,58.032,,,,,,,,,
127.406,12.25,,57.546,,,,,,,,,
127.559,12.25,,53.59,,,,,,,,,
127.711,12.25,,52.277,,,,,,,,,
127.864,12.25,,52.166,,,,,,,,,
128.016,12.25,,54.076,,,,,,,,,
128.168,12.25,,54.374,,,,,,,,,
128.321,12.25,,54.613,,,,,,,,,
128.473,12.25,,57.12,,,,,,,,,
128.626,12.25,,58.143,,,,,,,,,
128.778,12.25,,58.979,,,,,,,,,
128.93,12.25,,56.711,,,,,,,,,
129.083,12.25,,53.513,,,,,,,,,
129.235,12.25,,52.319,,,,,,,,,
129.388,12.25,,52.319,,,,,,,,,
129.54,12.25,,54.315,,,,,,,,,
129.692,12.25,,55.031,,,,,,,,,
129.845,12.25,,52.362,,,,,,,,,
129.997,12.25,,50.81,,,,,,,,,
130.15,12.25,,50.691,,,,,,,,,
130.302,12.25,,50.256,,,,,,,,,
130.454,12.25,,45.464,,,,,,,,,
130.607,12.25,,40.57,,,,,,,,,
130.759,12.25,,39.47,,,,,,,,,
130.912,12.25,,44.023,,,,,,,,,
131.064,12.25,,46.649,,,,,,,,,
131.216,12.25,,47.033,,,,,,,,,
131.369,12.25,,47.212,,,,,,,,,
131.521,12.25,,46.735,,,,,,,,,
131.674,12.25,,49.838,,,,,,,,,
131.826,12.25,,48.687,,,,,,,,,
131.978,12.25,,50.478,,,,,,,,,
132.131,12.25,,50.12,,,,,,,,,
132.283,12.25,,52.166,,,,,,,,,
132.436,12.25,,53.65,,,,,,,,,
132.588,12.25,,56.514,,,,,,,,,
132.74,12.25,,58.663,,,,,,,,,
132.893,12.25,,58.28,,,,,,,,,
133.045,12.25,,56.847,,,,,,,,,
133.198,12.25,,56.847,,,,,,,,,
133.35,12.25,,54.673,,,,,,,,,
133.502,12.25,,53.437,,,,,,,,,
133.655,12.25,,53.556,,,,,,,,,
133.807,12.25,,57.972,,,,,,,,,
133.96,12.25,,57.06,,,,,,,,,
134.112,12.25,,56.711,,,,,,,,,
134.264,12.25,,54.085,,,,,,,,,
134.417,12.25,,54.801,,,,,,,,,
134.569,12.25,,51.347,,,,,,,,,
134.722,12.25,,49.796,,,,,,,,,
134.874,12.25,,48.721,,,,,,,,,
135.026,12.25,,48.593,,,,,,,,,
135.179,12.25,,49.787,,,,,,,,,
135.331,12.25,,52.413,,,,,,,,,
135.484,12.25,,56.463,,,,,,,,,
135.636,12.25,,56.583,,,,,,,,,
135.788,12.25,,55.994,,,,,,,,,
135.941,12.25,,54.681,,,,,,,,,
136.093,12.25,,54.085,,,,,,,,,
136.246,12.25,,53.598,,,,,,,,,
136.398,12.25,,52.908,,,,,,,,,
136.55,12.25,,54.101,,,,,,,,,
136.703,12.25,,53.863,,,,,,,,,
136.855,12.25,,55.031,,,,,,,,,
137.008,12.25,,57.359,,,,,,,,,
137.16,12.25,,59.03,,,,,,,,,
137.312,12.25,,58.672,,,,,,,,,
137.465,12.25,,57.393,,,,,,,,,
137.617,12.25,,58.945,,,,,,,,,
137.77,12.25,,59.064,,,,,,,,,
137.922,12.25,,58.732,,,,,,,,,
138.074,12.25,,58.408,,,,,,,,,
138.227,12.25,,56.975,,,,,,,,,
138.379,12.25,,58.885,,,,,,,,,
138.532,12.25,,59.806,,,,,,,,,
138.684,12.25,,63.626,,,,,,,,,
138.836,12.25,,63.199,,,,,,,,,
138.989,12.25,,61.648,,,,,,,,,
139.141,12.25,,59.857,,,,,,,,,
139.294,12.25,,58.134,,,,,,,,,
139.446,12.25,,56.463,,,,,,,,,
139.598,12.25,,56.583,,,,,,,,,
139.751,12.25,,57.419,,,,,,,,,
139.903,12.25,,59.081,,,,,,,,,
140.056,12.25,,56.932,,,,,,,,,
140.208,12.25,,55.858,,,,,,,,,
140.36,12.25,,55.218,,,,,,,,,
140.513,12.25,,59.277,,,,,,,,,
140.665,12.25,,61.307,,,,,,,,,
140.818,12.25,,61.238,,,,,,,,,
140.97,12.25,,55.636,,,,,,,,,
141.122,12.25,,50.623,,,,,,,,,
141.275,12.25,,51.697,,,,,,,,,
141.427,12.25,,54.673,,,,,,,,,
141.58,12.25,,60.386,,,,,,,,,
141.732,12.25,,60.983,,,,,,,,,
141.884,12.25,,61.46,,,,,,,,,
142.037,12.25,,61.716,,,,,,,,,
142.189,12.25,,60.403,,,,,,,,,
142.342,12.25,,59.252,,,,,,,,,
142.494,12.25,,56.745,,,,,,,,,
142.646,12.25,,59.013,,,,,,,,,
142.799,12.25,,58.13,,,,,,,,,
142.951,12.25,,59.562,,,,,,,,,
143.104,12.25,,58.965,,,,,,,,,
143.256,12.25,,60.761,,,,,,,,,
143.408,12.25,,60.045,,,,,,,,,
143.561,12.25,,60.522,,,,,,,,,
143.713,12.25,,63.387,,,,,,,,,
143.866,12.25,,66.968,,,,,,,,,
144.018,12.25,,64.461,,,,,,,,,
144.17,12.25,,62.79,,,,,,,,,
144.323,12.25,,60.871,,,,,,,,,
