wellName,datasetName,DEPT,BS,CALI,DENS,DTC,GR,NEUT,PEF,RESD,RESM,RESS,SP,TVD
Cheal-A11,Clean,653.491,8.5,8.29,2.22,116.71,85.238,0.377,2.818,35.94499969,17.50699997,3.964999914,14.154,641.0719
Cheal-A11,Clean,653.644,8.5,7.713,2.232,108.187,81.287,0.355,2.813,43.53900146,19.63800049,3.750999928,13.035,641.2067
Cheal-A11,Clean,653.796,8.5,7.666,2.245,107.766,81.922,0.341,2.855,47.48799896,21.34300041,3.884000063,11.891,641.3405
Cheal-A11,Clean,653.948,8.5,7.705,2.259,110.654,81.182,0.327,2.905,48.50999832,23.36899948,4.475999832,11.145,641.4742
Cheal-A11,Clean,654.101,8.5,7.56,2.267,117.67,84.93,0.328,2.939,44.49100113,23.69599915,5.006999969,10.535,641.6109
Cheal-A11,Clean,654.253,8.5,7.604,2.27,115.511,87.257,0.313,2.94,42.02399826,23.72299957,5.289999962,9.332,641.7477
Cheal-A11,Clean,654.406,8.5,7.596,2.264,115.965,89.595,0.324,2.918,38.69200134,22.90099907,5.21600008,8.43,641.8854
Cheal-A11,Clean,654.558,8.5,7.596,2.269,117.059,85.913,0.313,2.892,36.2820015,22.09900093,5.109000206,7.434,642.021
Cheal-A11,Clean,654.71,8.5,7.588,2.276,117.696,86.51,0.324,2.877,36.97299957,23.16200066,5.392000198,6.463,642.1548
Cheal-A11,Clean,654.863,8.5,7.651,2.281,117.883,89.062,0.319,2.91,37.51399994,24.08499908,5.662000179,5.566,642.2894
Cheal-A11,Clean,655.015,8.5,7.737,2.284,116.358,94.839,0.316,2.935,32.39300156,21.42300034,5.354000092,4.676,642.4232
Cheal-A11,Clean,655.168,8.5,7.839,2.289,115.423,97.502,0.302,2.944,30.57099915,20.66399956,5.361999989,3.68,642.5578
Cheal-A11,Clean,655.32,8.5,7.917,2.308,114.635,95.814,0.308,2.929,35.97299957,24.1760006,5.999000072,2.789,642.6916
Cheal-A11,Clean,655.472,8.5,7.8,2.318,113.761,95.063,0.298,2.925,37.41899872,25.36400032,6.230999947,1.848,642.8253
Cheal-A11,Clean,655.625,8.5,7.768,2.323,113.513,93.26,0.307,2.947,35.27799988,24.1420002,5.921999931,1.232,642.9625
Cheal-A11,Clean,655.777,8.5,7.784,2.32,113.812,99.554,0.319,2.941,32.52399826,22.32799911,5.670000076,0.473,643.0993
Cheal-A11,Clean,655.93,8.5,7.807,2.32,114.447,102.384,0.325,2.919,30.50099945,21.12100029,5.631000042,0.207,643.237
Cheal-A11,Clean,656.082,8.5,7.847,2.312,114.814,101.429,0.352,2.89,28.93099976,20.17200089,5.609000206,-0.133,643.3721
Cheal-A11,Clean,656.234,8.5,7.823,2.304,114.878,98.487,0.341,2.895,28.81800079,20.07999992,5.642000198,-0.508,643.5059
Cheal-A11,Clean,656.387,8.5,7.776,2.301,115.398,97.376,0.356,2.916,29.52499962,20.50499916,5.71600008,-0.699,643.6406
Cheal-A11,Clean,656.539,8.5,7.784,2.3,115.516,104.578,0.336,2.921,27.78700066,19.43099976,5.34800005,-1.051,643.7743
Cheal-A11,Clean,656.692,8.5,7.784,2.296,115.38,109.232,0.344,2.901,28.3920002,19.81999969,5.294000149,-1.371,643.9089
Cheal-A11,Clean,656.844,8.5,7.815,2.289,115.004,106.288,0.341,2.88,29.5340004,20.61000061,5.461999893,-1.516,644.0427
Cheal-A11,Clean,656.996,8.5,7.831,2.287,114.731,105.158,0.33,2.857,33.50999832,23.08300018,6.031000137,-1.945,644.1765
Cheal-A11,Clean,657.149,8.5,7.89,2.285,115.164,102.865,0.318,2.869,32.54100037,22.51000023,5.934999943,-2.512,644.3111
Cheal-A11,Clean,657.301,8.5,7.909,2.284,114.551,105.622,0.305,2.903,28.86000061,19.92200089,5.394999981,-2.901,644.4449
Cheal-A11,Clean,657.454,8.5,7.949,2.286,115.069,97.943,0.298,2.937,28.38299942,19.50200081,5.263999939,-2.922,644.5795
Cheal-A11,Clean,657.606,8.5,8.019,2.301,115.54,92.455,0.33,2.919,30.94099998,20.99500084,5.452000141,-2.883,644.7133
Cheal-A11,Clean,657.758,8.5,7.996,2.313,115.277,91.923,0.366,2.88,32.38299942,21.74699974,5.585999966,-2.809,644.847
Cheal-A11,Clean,657.911,8.5,7.984,2.313,116.093,96.884,0.374,2.874,32.05599976,21.57799911,5.638999939,-2.717,644.9817
Cheal-A11,Clean,658.063,8.5,7.996,2.298,117.601,99.122,0.347,2.891,31.70299911,21.48800087,5.704999924,-2.609,645.1167
Cheal-A11,Clean,658.216,8.5,7.996,2.288,118.481,95.252,0.34,2.897,29.1079998,19.84900093,5.241000175,-2.789,645.2544
Cheal-A11,Clean,658.368,8.5,8.031,2.284,119.025,91.032,0.35,2.883,30.30400085,20.54100037,5.071000099,-2.73,645.3912
Cheal-A11,Clean,658.52,8.5,8.137,2.274,119.694,89.419,0.344,2.895,35.68299866,23.69799995,5.397999763,-2.723,645.5276
Cheal-A11,Clean,658.673,8.5,8.058,2.26,119.94,86.349,0.362,2.889,38.48799896,25.08799934,5.544000149,-2.965,645.6622
Cheal-A11,Clean,658.825,8.5,8.043,2.247,120.532,85.716,0.369,2.864,35.99499893,23.64599991,5.494999886,-3.172,645.796
Cheal-A11,Clean,658.978,8.5,8.043,2.247,120.907,85.593,0.369,2.804,32.72900009,21.70299911,5.320000172,-3.367,645.9307
Cheal-A11,Clean,659.13,8.5,8.082,2.252,119.903,91.329,0.334,2.783,31.13500023,20.82900047,5.241000175,-3.91,646.0644
Cheal-A11,Clean,659.282,8.5,8.113,2.271,118.325,92.379,0.333,2.77,31.8010006,21.24300003,5.315000057,-4.527,646.1982
Cheal-A11,Clean,659.435,8.5,8.137,2.289,117.027,95.727,0.332,2.781,32.68799973,21.81399918,5.422999859,-4.859,646.3328
Cheal-A11,Clean,659.587,8.5,8.153,2.306,115.914,95.165,0.328,2.785,32.26100159,21.66300011,5.462999821,-5.238,646.4666
Cheal-A11,Clean,659.74,8.5,8.113,2.31,116.092,99.102,0.335,2.805,30.29299927,20.54999924,5.285999775,-5.516,646.6012
Cheal-A11,Clean,659.892,8.5,8.137,2.312,116.745,98.127,0.324,2.809,28.36499977,19.41600037,5.116000175,-5.773,646.735
Cheal-A11,Clean,660.044,8.5,8.113,2.309,117.158,97.402,0.33,2.821,26.86599922,18.54599953,5.035999775,-5.816,646.8687
Cheal-A11,Clean,660.197,8.5,8.113,2.3,117.517,92.521,0.339,2.84,28.30400085,19.44199944,5.149000168,-6.855,647.0034
Cheal-A11,Clean,660.349,8.5,8.113,2.285,117.861,96.326,0.366,2.867,29.40500069,20.16200066,5.196000099,-7.457,647.1371
Cheal-A11,Clean,660.502,8.5,8.098,2.276,118.204,103.221,0.36,2.873,28.58799934,19.62199974,5.038000107,-7.918,647.2718
Cheal-A11,Clean,660.654,8.5,8.105,2.273,118.45,110.504,0.364,2.882,27.96899986,19.24799919,5.012000084,-8.086,647.4086
Cheal-A11,Clean,660.806,8.5,8.113,2.273,118.259,106.64,0.349,2.899,28.47299957,19.52499962,5.020999908,-8.414,647.5454
Cheal-A11,Clean,660.959,8.5,8.098,2.275,118.002,101.821,0.351,2.907,29.48500061,19.97800064,5.06099987,-8.832,647.683
Cheal-A11,Clean,661.111,8.5,8.078,2.282,117.516,101.63,0.32,2.89,29.60099983,19.98600006,5.06400013,-9.156,647.8176
Cheal-A11,Clean,661.264,8.5,8.074,2.295,117.022,101.292,0.312,2.865,28.0510006,19.10000038,5.124000072,-9.391,647.9523
Cheal-A11,Clean,661.416,8.5,8.078,2.3,116.588,96.067,0.322,2.865,27.9829998,19.06999969,5.078999996,-8.41,648.0861
Cheal-A11,Clean,661.568,8.5,8.113,2.297,116.709,91.141,0.338,2.869,28.87100029,19.64900017,5.073999882,-8.199,648.2198
Cheal-A11,Clean,661.721,8.5,8.121,2.284,117.25,91.219,0.343,2.875,30.5,20.64599991,5.074999809,-8.34,648.3544
Cheal-A11,Clean,661.873,8.5,8.043,2.273,117.788,96.312,0.346,2.875,31.04000092,20.94799995,5.097000122,-8.258,648.4882
Cheal-A11,Clean,662.026,8.5,8.019,2.267,117.952,97.663,0.337,2.88,29.22400093,19.95499992,5.038000107,-8.188,648.6229
Cheal-A11,Clean,662.178,8.5,8.043,2.266,118.362,96.972,0.339,2.868,28.21500015,19.4810009,4.988999844,-8.211,648.7566
Cheal-A11,Clean,662.33,8.5,8.051,2.265,118.014,93.171,0.336,2.86,27.96800041,19.45999908,4.997000217,-8.734,648.8904
Cheal-A11,Clean,662.483,8.5,8.09,2.273,117.87,93.685,0.339,2.826,37.18299866,28.04700089,6.721000195,-8.727,649.025
Cheal-A11,Clean,662.635,8.5,8.113,2.272,117.868,92.556,0.355,2.813,28.92399979,20.37999916,4.804999828,-8.348,649.1588
Cheal-A11,Clean,662.788,8.5,8.113,2.273,118.766,100.17,0.373,2.784,28.58399963,20.31500053,4.803999901,-8.452,649.2934
Cheal-A11,Clean,662.94,8.5,8.129,2.262,117.975,97.738,0.371,2.786,27.42399979,19.62199974,4.778999805,-8.707,649.4272
Cheal-A11,Clean,663.092,8.5,8.121,2.256,118.492,100.025,0.368,2.794,24.64100075,17.83600044,4.581999779,-8.945,649.5628
Cheal-A11,Clean,663.245,8.5,8.16,2.256,119.757,96.293,0.369,2.815,25.14299965,18.2159996,4.71999979,-9.434,649.7005
Cheal-A11,Clean,663.397,8.5,8.184,2.261,120.411,99.16,0.386,2.842,27.44799995,19.71100044,5.120999813,-9.988,649.8373
Cheal-A11,Clean,663.55,8.5,8.231,2.265,119.19,102.109,0.383,2.886,28.04199982,20.26399994,5.256000042,-10.363,649.974
Cheal-A11,Clean,663.702,8.5,8.266,2.284,107.125,102.494,0.364,2.908,27.32900047,19.95400047,5.315000057,-10.633,650.1077
Cheal-A11,Clean,663.854,8.5,8.302,2.312,93.849,93.694,0.331,2.898,30.86000061,22.68899918,5.991000175,-11.026,650.2415
Cheal-A11,Clean,664.007,8.5,8.372,2.331,90.027,87.596,0.301,2.858,48.625,35.22200012,8.206000328,-10.867,650.3762
Cheal-A11,Clean,664.159,8.5,8.384,2.32,91.963,83.373,0.315,2.831,31.91699982,23.28899956,5.920000076,-10.773,650.5099
Cheal-A11,Clean,664.312,8.5,8.254,2.298,100.597,89.176,0.336,2.813,27.3010006,19.87999916,5.587999821,-10.359,650.6445
Cheal-A11,Clean,664.464,8.5,8.184,2.284,110.519,90.771,0.365,2.794,27.78000069,20.16600037,6.163000107,-10.445,650.7783
Cheal-A11,Clean,664.616,8.5,8.192,2.272,115.146,91.029,0.38,2.806,26.52000046,19.30599976,6.234000206,-10.348,650.912
Cheal-A11,Clean,664.769,8.5,8.266,2.259,115.958,88.797,0.38,2.833,27.41699982,19.9489994,5.734000206,-10.352,651.0467
Cheal-A11,Clean,664.921,8.5,8.337,2.256,117.056,88.32,0.371,2.846,28.18600082,20.46699905,5.202000141,-10.586,651.1805
Cheal-A11,Clean,665.074,8.5,8.443,2.262,117.587,89.438,0.358,2.842,29.17399979,21.36899948,5.019999981,-11.479,651.3151
Cheal-A11,Clean,665.226,8.5,8.466,2.266,117.956,89.993,0.377,2.84,29.04700089,21.65699959,5.018000126,-11.892,651.4489
Cheal-A11,Clean,665.378,8.5,8.2,2.264,118.731,89.741,0.395,2.843,29.05900002,21.54199982,4.993000031,-12.281,651.5826
Cheal-A11,Clean,665.531,8.5,8.196,2.26,119.08,90.279,0.39,2.839,27.94000053,20.5340004,4.827000141,-12.767,651.7179
Cheal-A11,Clean,665.683,8.5,8.196,2.261,118.811,92.265,0.369,2.823,27.20800018,19.89900017,4.710999966,-13.031,651.8547
Cheal-A11,Clean,665.836,8.5,8.207,2.253,118.886,94.376,0.339,2.846,28.17099953,20.4489994,4.770999908,-13.217,651.9924
Cheal-A11,Clean,665.988,8.5,8.243,2.25,118.675,93.796,0.336,2.877,28.65399933,20.73500061,4.758999825,-13.656,652.1292
Cheal-A11,Clean,666.14,8.5,8.262,2.245,118.576,92.063,0.349,2.91,29.50699997,21.18199921,4.747000217,-14.067,652.2632
Cheal-A11,Clean,666.293,8.5,8.286,2.247,118.652,88.656,0.347,2.905,31.40399933,22.23699951,4.81400013,-14.479,652.3978
Cheal-A11,Clean,666.445,8.5,8.29,2.256,118.586,93.05,0.377,2.869,30.79899979,21.8220005,4.855999947,-14.875,652.5316
Cheal-A11,Clean,666.598,8.5,8.184,2.261,118.728,92.833,0.354,2.857,28.00699997,20.03899956,4.826000214,-15.067,652.6663
Cheal-A11,Clean,666.75,8.5,8.184,2.259,118.488,94.308,0.351,2.862,25.98699951,18.81699944,4.775000095,-15.555,652.8
Cheal-A11,Clean,666.902,8.5,8.184,2.254,118.178,87.44,0.331,2.866,26.13199997,18.91399956,4.815999985,-16.538,652.9338
Cheal-A11,Clean,667.055,8.5,8.2,2.255,118.358,89.54,0.339,2.846,26.85700035,19.36700058,4.826000214,-17.125,653.0684
Cheal-A11,Clean,667.207,8.5,8.207,2.259,118.752,90.675,0.327,2.823,27.29100037,19.72599983,4.798999786,-17.871,653.2022
Cheal-A11,Clean,667.36,8.5,8.149,2.257,119.382,98.123,0.339,2.83,26.87999916,19.36400032,4.698999882,-18.254,653.3368
Cheal-A11,Clean,667.512,8.5,8.054,2.258,119.845,98.02,0.367,2.822,27.34000015,19.62700081,4.81400013,-18.363,653.4706
Cheal-A11,Clean,667.664,8.5,7.996,2.256,120.386,99.083,0.347,2.791,26.38100052,18.89500046,4.710000038,-19.087,653.6044
Cheal-A11,Clean,667.817,8.5,7.949,2.261,120.154,95.039,0.361,2.776,24.53300095,17.61899948,4.521999836,-20.031,653.739
Cheal-A11,Clean,667.969,8.5,7.87,2.265,119.757,96.256,0.335,2.797,24.26300049,17.41300011,4.570000172,-20.113,653.8727
Cheal-A11,Clean,668.122,8.5,7.784,2.271,119.006,96.028,0.338,2.863,24.12800026,17.38999939,4.673999786,-20.108,654.0098
Cheal-A11,Clean,668.274,8.5,7.784,2.275,117.175,94.937,0.352,2.926,24.38999939,17.59199905,4.711999893,-20.449,654.1466
Cheal-A11,Clean,668.426,8.5,7.792,2.28,116.151,97.351,0.372,2.967,26.04299927,18.78100014,4.940000057,-21.167,654.2834
Cheal-A11,Clean,668.579,8.5,7.776,2.282,115.45,94.058,0.387,2.952,26.01300049,18.79700089,5.011000156,-21.305,654.4195
Cheal-A11,Clean,668.731,8.5,7.807,2.28,115.385,97.266,0.346,2.919,24.63599968,17.89299965,5.048999786,-21.846,654.5533
Cheal-A11,Clean,668.884,8.5,7.878,2.268,115.859,93.747,0.339,2.904,23.08799934,16.87000084,5.032000065,-22.27,654.6879
Cheal-A11,Clean,669.036,8.5,7.8,2.263,116.015,101.86,0.332,2.922,21.94400024,16.11400032,5.09800005,-22.746,654.8217
Cheal-A11,Clean,669.188,8.5,7.807,2.265,115.946,105.131,0.373,2.923,21.54999924,15.77799988,5.093999863,-22.137,654.9554
Cheal-A11,Clean,669.341,8.5,7.819,2.266,116.001,110.937,0.402,2.929,22.3390007,16.20499992,5.107999802,-18.517,655.0901
Cheal-A11,Clean,669.493,8.5,7.807,2.262,115.986,108.267,0.387,2.939,22.13100052,16.01600075,4.97300005,-22.863,655.2238
Cheal-A11,Clean,669.646,8.5,7.839,2.255,116.211,106.669,0.382,2.949,22.4489994,16.18099976,4.896999836,-24.145,655.3555
Cheal-A11,Clean,669.798,8.5,7.913,2.258,116.519,102.669,0.326,2.94,22.10300064,15.97099972,4.856999874,-24.788,655.4863
Cheal-A11,Clean,669.95,8.5,7.925,2.275,116.392,103.962,0.326,2.921,21.83399963,15.72700024,4.769999981,-24.605,655.6169
Cheal-A11,Clean,670.103,8.5,7.894,2.288,116.048,97.275,0.33,2.928,23.10300064,16.4090004,4.822000027,-24.421,655.7506
Cheal-A11,Clean,670.255,8.5,7.878,2.295,115.851,99.105,0.329,2.957,23.75499916,16.67399979,4.798999786,-24.418,655.8844
Cheal-A11,Clean,670.408,8.5,7.878,2.285,115.917,99.699,0.34,2.993,23.17399979,16.20000076,4.732999802,-24.933,656.019
Cheal-A11,Clean,670.56,8.5,7.878,2.278,116.17,101.781,0.333,3.01,21.75399971,15.26099968,4.517000198,-25.293,656.1528
Cheal-A11,Clean,670.712,8.5,7.917,2.273,116.478,101.495,0.371,2.98,22.00499916,15.48499966,4.524000168,-26.133,656.2866
Cheal-A11,Clean,670.865,8.5,7.96,2.279,116.552,103.375,0.37,2.937,23.39500046,16.37999916,4.645999908,-26.983,656.4212
Cheal-A11,Clean,671.017,8.5,8.043,2.282,116.41,109.54,0.394,2.903,24.82099915,17.28499985,4.703000069,-11.887,656.5549
Cheal-A11,Clean,671.17,8.5,8.105,2.282,116.103,105.703,0.368,2.897,24.24399948,16.90699959,4.612999916,-1.954,656.6896
Cheal-A11,Clean,671.322,8.5,8.137,2.27,115.478,98.729,0.364,2.898,23.44799995,16.43799973,4.563000202,-2.15,656.8234
Cheal-A11,Clean,671.474,8.5,8.137,2.263,115.094,91.527,0.35,2.899,23.06999969,16.24600029,4.600999832,-2.455,656.9571
Cheal-A11,Clean,671.627,8.5,8.121,2.255,114.998,94.065,0.358,2.895,20.54400063,14.6789999,4.419000149,-2.594,657.0917
Cheal-A11,Clean,671.779,8.5,8.09,2.259,114.914,93.581,0.343,2.883,18.82500076,13.66499996,4.269999981,-2.661,657.2255
Cheal-A11,Clean,671.932,8.5,8.113,2.267,115.083,96.649,0.363,2.876,19.54500008,14.17700005,4.300000191,-2.987,657.3602
Cheal-A11,Clean,672.084,8.5,8.184,2.278,115.095,93.59,0.376,2.877,22.05500031,15.57499981,4.366000175,-3.379,657.4939
Cheal-A11,Clean,672.236,8.5,8.372,2.283,115.163,94.07,0.383,2.89,22.76600075,15.90200043,4.243000031,-4.183,657.6277
Cheal-A11,Clean,672.389,8.5,8.443,2.281,115.078,93.582,0.356,2.914,21.15200043,14.92700005,4.297999859,-4.844,657.7623
Cheal-A11,Clean,672.541,8.5,8.38,2.279,114.705,95.856,0.338,2.929,21.12000084,15.02299976,4.765999794,-5.603,657.8961
Cheal-A11,Clean,672.694,8.5,8.431,2.285,114.103,97.584,0.337,2.953,20.10199928,14.63500023,4.943999767,-6.473,658.0307
Cheal-A11,Clean,672.846,8.5,8.513,2.322,106.395,92.164,0.33,3.028,17.56800079,12.99499989,4.485000134,-7.911,658.1645
Cheal-A11,Clean,672.998,8.5,8.596,2.386,97.512,84.91,0.3,3.188,20.62400055,15.17500019,4.981999874,-8.96,658.2982
Cheal-A11,Clean,673.151,8.5,8.654,2.431,96.463,81.627,0.27,3.355,32.86299896,24.13299942,7.71999979,-10.098,658.4329
Cheal-A11,Clean,673.303,8.5,8.709,2.414,96.917,91.318,0.289,3.411,21.65200043,16.55800056,6.388999939,-11.79,658.5667
Cheal-A11,Clean,673.456,8.5,8.866,2.356,105.392,103.321,0.342,3.334,18.79000092,14.37699986,5.883999825,-13.504,658.7013
Cheal-A11,Clean,673.608,8.5,9.007,2.313,112.354,107.55,0.372,3.207,18.2329998,14.07299995,6.296000004,-14.991,658.835
Cheal-A11,Clean,673.76,8.5,9.019,2.298,114.431,100.88,0.382,3.119,17.83799934,13.91600037,6.718999863,-16.237,658.9688
Cheal-A11,Clean,673.913,8.5,9.039,2.299,115.195,97.452,0.362,3.102,17.70499992,13.92800045,6.701000214,-17.107,659.1035
Cheal-A11,Clean,674.065,8.5,9.102,2.296,116.022,101.78,0.344,3.123,17.02899933,13.47500038,6.600999832,-18.281,659.2372
Cheal-A11,Clean,674.218,8.5,9.172,2.293,117.468,116.186,0.357,3.142,15.89400005,12.75899982,6.506999969,-19.076,659.3718
Cheal-A11,Clean,674.37,8.5,9.149,2.285,116.984,122.143,0.348,3.104,16.00099945,13.0170002,6.638000011,-19.879,659.5056
Cheal-A11,Clean,674.522,8.5,9.16,2.288,117.566,127.926,0.351,3.052,16.81900024,13.80099964,6.96600008,-20.884,659.6393
Cheal-A11,Clean,674.675,8.5,9.196,2.292,117.959,120.648,0.335,3.009,16.98800087,13.86299992,7.031000137,-21.969,659.774
Cheal-A11,Clean,674.827,8.5,9.305,2.301,117.711,120.976,0.346,2.993,16.85700035,13.76200008,7.281000137,-23.214,659.9078
Cheal-A11,Clean,674.98,8.5,9.345,2.305,118.278,114.862,0.368,2.982,17.18300056,13.99699974,7.568999767,-24.513,660.0424
Cheal-A11,Clean,675.132,8.5,9.384,2.312,118.548,114.387,0.361,2.977,17.97200012,14.57400036,7.809999943,-25.714,660.1761
Cheal-A11,Clean,675.284,8.5,9.384,2.317,118.515,114.645,0.365,2.985,17.49300003,14.17000008,7.671999931,-26.576,660.3099
Cheal-A11,Clean,675.437,8.5,9.36,2.315,118.117,111.909,0.348,3.01,15.88700008,12.88099957,7.188000202,-27.067,660.4446
Cheal-A11,Clean,675.589,8.5,9.278,2.319,118.045,109.968,0.364,3.052,15.7869997,12.72099972,7.038000107,-26.848,660.5765
Cheal-A11,Clean,675.742,8.5,9.231,2.322,118.884,103.707,0.377,3.087,16.55400085,13.30500031,7.09100008,-26.92,660.7081
Cheal-A11,Clean,675.894,8.5,9.196,2.325,119.32,106.594,0.391,3.073,17.20700073,13.77299976,6.938000202,-26.754,660.8388
Cheal-A11,Clean,676.046,8.5,9.18,2.321,118.24,107.065,0.375,3.024,17.15099907,13.73900032,6.84499979,-26.549,660.9705
Cheal-A11,Clean,676.199,8.5,9.149,2.314,117.956,106.559,0.358,2.987,18.09000015,14.98900032,6.729000092,-26.232,661.1051
Cheal-A11,Clean,676.351,8.5,9.117,2.317,117.786,109.573,0.353,3,17.77700043,14.30599976,6.642000198,-25.788,661.2389
Cheal-A11,Clean,676.504,8.5,9.102,2.314,117.708,114.032,0.371,3.024,17.87299919,14.43700027,6.702000141,-25.871,661.3735
Cheal-A11,Clean,676.656,8.5,9.133,2.317,117.257,119.118,0.36,3.03,17.67099953,14.21899986,6.31400013,-25.241,661.5073
Cheal-A11,Clean,676.808,8.5,9.125,2.314,116.962,116.647,0.35,3.024,17.6420002,14.13199997,6.31400013,-24.671,661.6411
Cheal-A11,Clean,676.961,8.5,9.125,2.316,117.223,115.944,0.331,3.02,17.22599983,13.82299995,6.125,-24.583,661.7757
Cheal-A11,Clean,677.113,8.5,9.102,2.314,117.225,116.797,0.325,3.011,16.46199989,13.25699997,5.875999928,-24.888,661.9094
Cheal-A11,Clean,677.266,8.5,9.09,2.306,117.739,116.902,0.332,2.993,16.44000053,13.26599979,5.860000134,-24.788,662.0441
Cheal-A11,Clean,677.418,8.5,9.102,2.299,117.514,111.149,0.324,2.97,16.19000053,13.09799957,5.822999954,-24.977,662.1779
Cheal-A11,Clean,677.57,8.5,9.109,2.299,117.515,111.547,0.332,2.96,15.7670002,12.82699966,5.725999832,-25.079,662.3116
Cheal-A11,Clean,677.723,8.5,9.109,2.306,117.378,104.452,0.333,2.947,15.89299965,12.96199989,5.737999916,-25.263,662.4462
Cheal-A11,Clean,677.875,8.5,9.109,2.317,117.112,104.548,0.361,2.966,15.61900043,12.84000015,5.756000042,-25.555,662.58
Cheal-A11,Clean,678.028,8.5,9.149,2.321,116.782,100.712,0.37,2.993,16.40699959,13.51900005,6.031000137,-25.521,662.7147
Cheal-A11,Clean,678.18,8.5,9.188,2.317,116.878,108.387,0.372,3.017,16.71899986,13.80900002,6.190000057,-25.574,662.8484
Cheal-A11,Clean,678.332,8.5,9.09,2.307,116.766,116.622,0.353,2.998,17.14800072,14.14000034,6.321000099,-25.721,662.9822
Cheal-A11,Clean,678.485,8.5,9.16,2.298,117.211,117.681,0.349,2.956,17.40600014,14.30200005,6.43900013,-25.737,663.1168
Cheal-A11,Clean,678.637,8.5,9.149,2.297,117.203,109.476,0.335,2.955,16.39500046,13.45699978,6.228000164,-26.063,663.2505
Cheal-A11,Clean,678.79,8.5,9.149,2.303,117.896,104.589,0.315,3.003,16.17499924,13.24699974,6.272999763,-26.375,663.3852
Cheal-A11,Clean,678.942,8.5,9.149,2.313,118.139,105.734,0.331,3.069,16.1609993,13.20699978,6.327000141,-26.467,663.519
Cheal-A11,Clean,679.094,8.5,9.149,2.322,118.066,113.55,0.353,3.078,15.17399979,12.48200035,6.245999813,-26.642,663.6527
Cheal-A11,Clean,679.247,8.5,9.149,2.325,117.905,110.894,0.384,3.053,15.61800003,12.85299969,6.445000172,-26.892,663.7874
Cheal-A11,Clean,679.399,8.5,9.149,2.32,117.832,106.617,0.378,3.029,16.78899956,13.79800034,6.676000118,-27.246,663.9211
Cheal-A11,Clean,679.552,8.5,9.149,2.322,117.743,103.476,0.36,3.055,17.6060009,14.47799969,6.877999783,-27.446,664.0558
Cheal-A11,Clean,679.704,8.5,9.164,2.328,118.106,106.582,0.36,3.101,17.61700058,14.51599979,6.928999901,-27.508,664.1895
Cheal-A11,Clean,679.856,8.5,9.172,2.335,118.944,108.417,0.349,3.126,16.7329998,13.81000042,6.794000149,-27.517,664.3233
Cheal-A11,Clean,680.009,8.5,9.196,2.333,118.852,109.41,0.363,3.093,16.3579998,13.42500019,6.742000103,-27.467,664.4579
Cheal-A11,Clean,680.161,8.5,9.207,2.326,118.614,108.401,0.346,3.044,15.77200031,12.95499992,6.774000168,-27.646,664.5917
