wellName,datasetName,DEPT,BS,CALI,DENS,DTC,GR,NEUT,PEF,RESD,RESM,RESS,TVD
Cheal-C4,Clean,668.274,8.5,9.161,2.307,120,118.079,0.354,3.259,26.765,17.327,5.57,622.2427
Cheal-C4,Clean,668.426,8.5,9.137,2.318,108.75,121.826,0.339,3.289,25.969,17.011,5.715,622.3552
Cheal-C4,Clean,668.579,8.5,9.113,2.363,92.994,118.108,0.319,3.306,25.014,16.539,5.733,622.47
Cheal-C4,Clean,668.731,8.5,9.149,2.417,91.5,117.533,0.275,3.309,29.504,19.61,6.855,622.5855
Cheal-C4,Clean,668.884,8.5,9.246,2.421,105.75,112.182,0.269,3.29,32.891,21.618,7.343,622.7018
Cheal-C4,Clean,669.036,8.5,9.294,2.362,120.25,118.388,0.272,3.211,26.545,17.101,5.719,622.8166
Cheal-C4,Clean,669.188,8.5,9.041,2.308,124.166,121.041,0.308,3.107,26.437,16.792,5.755,622.9291
Cheal-C4,Clean,669.341,8.5,9.005,2.293,121,123.12,0.341,3.018,25.393,16.004,5.829,623.0423
Cheal-C4,Clean,669.493,8.5,8.957,2.303,122.25,125.846,0.344,2.987,25.378,15.638,5.487,623.1548
Cheal-C4,Clean,669.646,8.5,8.969,2.311,120.834,125.643,0.345,3.018,25.859,15.538,4.995,623.2709
Cheal-C4,Clean,669.798,8.5,9.017,2.315,120.75,126.952,0.331,3.071,26.384,15.454,4.781,623.3865
Cheal-C4,Clean,669.95,8.5,9.033,2.317,119.25,121.586,0.352,3.108,26.692,15.486,4.642,623.502
Cheal-C4,Clean,670.103,8.5,8.909,2.323,120,116.476,0.335,3.117,27.092,15.575,4.532,623.6162
Cheal-C4,Clean,670.255,8.5,8.801,2.328,119.25,114.38,0.329,3.084,27.566,15.609,4.386,623.7287
Cheal-C4,Clean,670.408,8.5,8.801,2.331,116.75,113.757,0.328,3.038,28.234,15.788,4.225,623.8419
Cheal-C4,Clean,670.56,8.5,8.789,2.327,115.75,115.674,0.32,3.029,29.006,16.063,4.151,623.9556
Cheal-C4,Clean,670.712,8.5,8.801,2.325,117.5,113.231,0.302,3.048,29.054,16.081,4.193,624.0711
Cheal-C4,Clean,670.865,8.5,8.789,2.324,120,110.64,0.31,3.044,28.633,15.855,4.266,624.1874
Cheal-C4,Clean,671.017,8.5,8.849,2.321,119.25,111.046,0.308,2.95,26.91,14.813,4.226,624.3029
Cheal-C4,Clean,671.17,8.5,8.909,2.315,120.751,112.51,0.316,2.825,25.554,14.062,4.268,624.4192
Cheal-C4,Clean,671.322,8.5,8.969,2.302,116.663,116.763,0.283,2.736,24.566,13.408,4.185,624.5347
Cheal-C4,Clean,671.474,8.5,8.933,2.294,117.5,118.576,0.284,2.715,27.48,13.833,4.066,624.6502
Cheal-C4,Clean,671.627,8.5,8.64,2.292,116.5,117.668,0.285,2.743,32.573,14.731,4.01,624.764
Cheal-C4,Clean,671.779,8.5,8.753,2.304,115.75,117.428,0.301,2.781,33.742,14.84,4.026,624.8765
Cheal-C4,Clean,671.932,8.5,8.813,2.313,114.25,115.788,0.301,2.816,33.378,14.879,4.088,624.9897
Cheal-C4,Clean,672.084,8.5,8.833,2.311,112.75,117.975,0.306,2.818,32.992,15.022,4.075,625.1038
Cheal-C4,Clean,672.236,8.5,8.873,2.306,111.75,113.725,0.292,2.81,33.501,15.095,3.965,625.2194
Cheal-C4,Clean,672.389,8.5,8.825,2.301,110.75,115.96,0.286,2.818,34.125,15.162,3.816,625.3356
Cheal-C4,Clean,672.541,8.5,8.825,2.305,114.166,113.5,0.278,2.846,34.594,15.338,3.706,625.4503
Cheal-C4,Clean,672.694,8.5,8.825,2.314,117.5,113.747,0.292,2.873,34.579,15.427,3.726,625.5635
Cheal-C4,Clean,672.846,8.5,8.837,2.328,118.334,110.112,0.287,2.879,34.698,15.53,3.809,625.676
Cheal-C4,Clean,672.998,8.5,8.837,2.327,114.358,110.359,0.276,2.875,34.86,15.449,3.843,625.7885
Cheal-C4,Clean,673.151,8.5,8.865,2.325,115.75,113.627,0.274,2.885,35.056,15.362,3.925,625.9047
Cheal-C4,Clean,673.303,8.5,8.909,2.324,115,119.385,0.276,2.91,34.159,15.183,3.974,626.0203
Cheal-C4,Clean,673.456,8.5,8.969,2.333,115,123.143,0.273,2.925,32.468,14.776,4.088,626.1365
Cheal-C4,Clean,673.608,8.5,8.981,2.338,115,124.794,0.282,2.916,31.673,14.631,4.165,626.2521
Cheal-C4,Clean,673.76,8.5,8.933,2.344,115,119.485,0.27,2.9,31.329,14.612,4.22,626.3676
Cheal-C4,Clean,673.913,8.5,8.881,2.344,115.75,118.42,0.261,2.882,31.439,14.796,4.226,626.4839
Cheal-C4,Clean,674.065,8.5,8.885,2.347,116.75,119.012,0.244,2.892,30.953,14.868,4.26,626.5981
Cheal-C4,Clean,674.218,8.5,8.945,2.345,117.5,119.605,0.268,2.903,29.618,14.705,4.294,626.7113
Cheal-C4,Clean,674.37,8.5,8.953,2.348,117.5,111.927,0.294,2.927,29.093,14.716,4.362,626.8238
Cheal-C4,Clean,674.522,8.5,8.961,2.346,116.5,111.099,0.321,2.93,28.28,14.712,4.441,626.9367
Cheal-C4,Clean,674.675,8.5,8.921,2.351,113.333,109.876,0.319,2.923,27.199,14.503,4.472,627.053
Cheal-C4,Clean,674.827,8.5,8.921,2.353,115,113.086,0.311,2.899,26.657,14.378,4.506,627.1685
Cheal-C4,Clean,674.98,8.5,8.921,2.349,115,112.6,0.301,2.891,27.085,14.541,4.448,627.2848
Cheal-C4,Clean,675.132,8.5,8.929,2.339,115.75,113.413,0.29,2.918,28.203,15.012,4.481,627.3976
Cheal-C4,Clean,675.284,8.5,8.969,2.344,115,116.382,0.294,2.991,29.091,15.408,4.538,627.5101
Cheal-C4,Clean,675.437,8.5,9.005,2.348,112.75,114.688,0.311,3.04,29.303,15.571,4.611,627.6234
Cheal-C4,Clean,675.589,8.5,9.065,2.351,115.75,115.554,0.3,3.059,28.941,15.611,4.641,627.7376
Cheal-C4,Clean,675.742,8.5,9.125,2.339,114.25,115.4,0.296,3.055,27.925,15.439,4.71,627.8539
Cheal-C4,Clean,675.894,8.5,9.149,2.337,114.25,121.867,0.276,3.07,27.596,15.496,4.721,627.9694
Cheal-C4,Clean,676.046,8.5,9.149,2.339,115,122.116,0.289,3.061,27.636,15.642,4.668,628.084
Cheal-C4,Clean,676.199,8.5,9.186,2.342,115,121.546,0.288,3.039,28.081,15.936,4.712,628.1973
Cheal-C4,Clean,676.351,8.5,9.169,2.345,115,116.401,0.296,3.038,28.399,16.156,4.792,628.3098
Cheal-C4,Clean,676.504,8.5,9.161,2.346,115,116.613,0.312,3.08,28.636,16.349,4.88,628.423
Cheal-C4,Clean,676.656,8.5,9.194,2.352,115,117.388,0.323,3.133,28.348,16.247,4.95,628.5386
Cheal-C4,Clean,676.808,8.5,9.242,2.354,115,124.322,0.328,3.131,28.292,16.225,4.991,628.6541
Cheal-C4,Clean,676.961,8.5,9.306,2.339,115,124.267,0.328,3.072,28.43,16.376,5.024,628.7703
Cheal-C4,Clean,677.113,8.5,9.342,2.329,115,123.245,0.334,3.05,28.379,16.48,5.06,628.8836
Cheal-C4,Clean,677.266,8.5,9.378,2.324,115,116.381,0.316,3.087,27.467,16.34,5.074,628.9968
Cheal-C4,Clean,677.418,8.5,9.39,2.337,115,119.204,0.297,3.161,26.899,16.368,5.158,629.1093
Cheal-C4,Clean,677.57,8.5,9.426,2.336,115,122.974,0.286,3.148,26.6,16.388,5.104,629.2232
Cheal-C4,Clean,677.723,8.5,9.474,2.333,115.834,124.219,0.305,3.094,26.368,16.476,5.132,629.3395
Cheal-C4,Clean,677.875,8.5,9.534,2.327,115.75,125.781,0.305,3.062,26.117,16.52,5.2,629.455
Cheal-C4,Clean,678.028,8.5,9.582,2.329,115.75,122.977,0.3,3.095,25.993,16.576,5.242,629.5707
Cheal-C4,Clean,678.18,8.5,9.667,2.325,117.5,124.066,0.293,3.136,25.809,16.565,5.293,629.6832
Cheal-C4,Clean,678.332,8.5,9.618,2.313,119.25,118.142,0.303,3.14,25.839,16.7,5.403,629.7957
Cheal-C4,Clean,678.485,8.5,9.667,2.312,120,120.02,0.307,3.112,25.637,16.633,5.461,629.9089
Cheal-C4,Clean,678.637,8.5,9.827,2.308,120.916,120.808,0.305,3.066,25.829,16.778,5.411,630.0241
Cheal-C4,Clean,678.79,8.5,9.895,2.309,121.75,125.082,0.315,3.041,26.227,17.138,5.581,630.1404
Cheal-C4,Clean,678.942,8.5,9.634,2.299,120,127.755,0.329,3.033,25.703,17.084,5.735,630.2559
Cheal-C4,Clean,679.094,8.5,9.703,2.3,120,126.545,0.335,3.046,24.862,16.697,5.76,630.3696
Cheal-C4,Clean,679.247,8.5,9.763,2.302,119.25,126.842,0.324,3.038,24.584,16.607,5.663,630.4828
Cheal-C4,Clean,679.399,8.5,9.763,2.306,120,122.246,0.333,3.037,24.689,16.736,5.733,630.5952
Cheal-C4,Clean,679.552,8.5,9.763,2.31,120,122.965,0.336,3.061,25.266,17.141,5.916,630.7095
Cheal-C4,Clean,679.704,8.5,9.755,2.31,120,119.863,0.32,3.096,25.306,17.163,5.957,630.825
Cheal-C4,Clean,679.856,8.5,9.751,2.304,120,121.63,0.32,3.104,25.099,17.08,6.071,630.9406
Cheal-C4,Clean,680.009,8.5,9.795,2.303,120,121.959,0.326,3.084,24.999,17.059,6.153,631.0566
Cheal-C4,Clean,680.161,8.5,9.835,2.305,120,123.814,0.335,3.066,25.322,17.284,6.264,631.1691
Cheal-C4,Clean,680.314,8.5,9.811,2.312,119.25,120.661,0.305,3.065,26.012,17.787,6.302,631.2823
Cheal-C4,Clean,680.466,8.5,9.819,2.31,120.75,124.025,0.302,3.072,26.184,17.86,6.268,631.3948
Cheal-C4,Clean,680.618,8.5,9.823,2.305,120,121.613,0.31,3.086,25.333,17.41,6.167,631.5096
Cheal-C4,Clean,680.771,8.5,9.835,2.307,120.75,122.99,0.342,3.089,24.592,16.997,6.135,631.6259
Cheal-C4,Clean,680.923,8.5,9.859,2.311,120,123.745,0.336,3.084,23.489,16.324,6.007,631.7415
Cheal-C4,Clean,681.076,8.5,9.859,2.316,119.25,129.769,0.348,3.088,23.44,16.32,5.993,631.8562
Cheal-C4,Clean,681.228,8.5,9.943,2.317,120,127.54,0.332,3.105,23.854,16.633,6.016,631.9687
Cheal-C4,Clean,681.38,8.5,10.075,2.319,120,123.926,0.311,3.109,24.29,16.935,6.014,632.0812
Cheal-C4,Clean,681.533,8.5,10.123,2.32,120.75,122.73,0.315,3.08,24.462,17.078,6.106,632.1951
Cheal-C4,Clean,681.685,8.5,10.184,2.318,121.665,124.593,0.329,3.042,24.684,17.148,6.114,632.3106
Cheal-C4,Clean,681.838,8.5,10.156,2.309,122.5,125.813,0.337,3.017,24.553,17.063,6.259,632.4269
Cheal-C4,Clean,681.99,8.5,10.131,2.301,122.5,125.698,0.335,3.023,24.002,16.745,6.29,632.5424
Cheal-C4,Clean,682.142,8.5,10.099,2.298,121.75,126.635,0.354,3.065,23.746,16.576,6.283,632.6551
Cheal-C4,Clean,682.295,8.5,10.148,2.309,121,128.69,0.371,3.114,23.59,16.493,6.15,632.7683
Cheal-C4,Clean,682.447,8.5,10.18,2.331,115,128.458,0.382,3.164,23.401,16.368,6.053,632.8807
Cheal-C4,Clean,682.6,8.5,10.156,2.346,107.517,129.694,0.362,3.183,23.189,16.292,6.155,632.996
Cheal-C4,Clean,682.752,8.5,10.111,2.341,94.999,131.174,0.36,3.172,25.891,18.111,6.845,633.1115
Cheal-C4,Clean,682.904,8.5,10.244,2.329,112,125.853,0.342,3.133,23.181,16.346,6.267,633.2271
Cheal-C4,Clean,683.057,8.5,10.22,2.313,116.5,124.049,0.339,3.086,23.797,16.649,6.231,633.3422
Cheal-C4,Clean,683.209,8.5,10.22,2.309,120.084,116.131,0.325,3.077,23.713,16.617,6.385,633.4547
Cheal-C4,Clean,683.362,8.5,10.22,2.301,118.25,121.849,0.333,3.078,24.142,16.797,6.496,633.5679
Cheal-C4,Clean,683.514,8.5,10.268,2.293,119.249,122.201,0.336,3.067,24.655,17.141,6.463,633.6806
Cheal-C4,Clean,683.666,8.5,10.292,2.293,118.166,124.389,0.34,3.041,24.562,17.052,6.373,633.7961
Cheal-C4,Clean,683.819,8.5,10.316,2.287,120,121.633,0.353,3.014,24.124,16.842,6.392,633.9124
Cheal-C4,Clean,683.971,8.5,10.348,2.283,121.753,121.494,0.332,3.003,24.281,16.958,6.355,634.028
Cheal-C4,Clean,684.124,8.5,10.316,2.288,120.75,122.831,0.312,2.993,24.228,16.988,6.363,634.1417
Cheal-C4,Clean,684.276,8.5,10.316,2.293,120,122.962,0.321,2.98,24.301,16.997,6.32,634.2542
Cheal-C4,Clean,684.428,8.5,10.292,2.3,120,122.483,0.334,2.975,24.59,17.17,6.284,634.3667
Cheal-C4,Clean,684.581,8.5,10.292,2.296,120,121.368,0.342,2.982,24.567,17.179,6.228,634.4816
Cheal-C4,Clean,684.733,8.5,10.388,2.298,120.75,124.947,0.33,3.004,24.415,17.104,6.289,634.597
Cheal-C4,Clean,684.886,8.5,10.364,2.292,120.75,128.885,0.346,3.018,24.244,17.039,6.403,634.7133
Cheal-C4,Clean,685.038,8.5,10.38,2.289,120,129.428,0.352,3.034,24.217,17.005,6.534,634.8281
Cheal-C4,Clean,685.19,8.5,10.376,2.291,121.5,130.25,0.34,3.032,23.523,16.569,6.462,634.9406
Cheal-C4,Clean,685.343,8.5,10.22,2.298,120.834,126.104,0.334,3.036,23.677,16.625,6.325,635.0538
Cheal-C4,Clean,685.495,8.5,10.196,2.302,120.75,127.474,0.348,3.03,24.215,16.944,6.308,635.1663
Cheal-C4,Clean,685.648,8.5,10.22,2.303,120,121.036,0.328,3.048,23.852,16.694,6.103,635.2825
Cheal-C4,Clean,685.8,8.5,10.22,2.302,120.834,117.95,0.326,3.065,23.469,16.455,6.081,635.398
Cheal-C4,Clean,685.952,8.5,10.492,2.3,121.666,118.847,0.337,3.086,22.981,16.184,5.996,635.5135
Cheal-C4,Clean,686.105,8.5,10.5,2.297,122.5,122.798,0.356,3.088,22.549,15.948,5.953,635.6277
Cheal-C4,Clean,686.257,8.5,10.436,2.296,122.5,126.188,0.345,3.084,22.454,15.954,6.009,635.7402
Cheal-C4,Clean,686.41,8.5,10.316,2.301,118.5,126.401,0.325,3.073,22.974,16.303,6.016,635.8534
Cheal-C4,Clean,686.562,8.5,10.316,2.309,119.25,130.077,0.303,3.057,23.023,16.33,6.072,635.9671
Cheal-C4,Clean,686.714,8.5,10.352,2.31,119.25,131.772,0.308,3.032,22.945,16.249,5.99,636.0826
Cheal-C4,Clean,686.867,8.5,10.58,2.308,118.25,135.143,0.321,3.007,22.937,16.248,6.059,636.1989
Cheal-C4,Clean,687.019,8.5,10.604,2.301,116.75,130.518,0.321,2.98,22.957,16.341,6.249,636.314
Cheal-C4,Clean,687.172,8.5,10.604,2.302,118.25,129.356,0.334,2.964,22.684,16.185,6.424,636.4272
Cheal-C4,Clean,687.324,8.5,10.616,2.303,119.166,123.215,0.334,2.957,23.003,16.444,6.659,636.5397
Cheal-C4,Clean,687.476,8.5,10.653,2.303,119.25,122.587,0.331,2.956,23.797,16.951,6.792,636.6522
Cheal-C4,Clean,687.629,8.5,10.709,2.287,120,124.272,0.324,2.956,24.548,17.413,6.887,636.768
Cheal-C4,Clean,687.781,8.5,10.737,2.283,119,131.422,0.342,2.987,24.326,17.262,6.909,636.8835
Cheal-C4,Clean,687.934,8.5,10.725,2.285,119.25,134.278,0.357,3.024,22.876,16.34,6.763,636.9998
Cheal-C4,Clean,688.086,8.5,10.725,2.294,119.919,131.232,0.376,3.057,21.453,15.469,6.818,637.1136
Cheal-C4,Clean,688.238,8.5,10.693,2.291,120,126.183,0.36,3.045,20.849,15.104,6.893,637.2261
Cheal-C4,Clean,688.391,8.5,10.677,2.287,120.75,128.124,0.354,3.035,21.244,15.424,7.07,637.3393
Cheal-C4,Clean,688.543,8.5,10.677,2.292,120.75,133.412,0.349,3.042,22.478,16.337,7.386,637.4518
Cheal-C4,Clean,688.696,8.5,10.637,2.298,121.75,131.631,0.354,3.056,23.322,16.95,7.583,637.565
Cheal-C4,Clean,688.848,8.5,10.604,2.3,120.916,132.092,0.348,3.053,24.72,17.905,7.786,637.6775
Cheal-C4,Clean,689,8.5,10.669,2.293,120.834,124.766,0.342,3.028,25.505,18.451,7.994,637.79
Cheal-C4,Clean,689.153,8.5,10.665,2.285,120,129.818,0.328,3.001,25.798,18.562,7.962,637.9062
Cheal-C4,Clean,689.305,8.5,10.677,2.285,120.75,127.108,0.316,2.995,25.091,18.016,7.885,638.0218
Cheal-C4,Clean,689.458,8.5,10.653,2.286,123.748,130.462,0.31,2.987,23.753,17.075,7.753,638.1381
Cheal-C4,Clean,689.61,8.5,10.629,2.284,121.669,131.088,0.306,2.978,22.241,16.072,7.364,638.2514
Cheal-C4,Clean,689.762,8.5,10.669,2.282,121.5,127.582,0.317,2.978,21.503,15.632,7.021,638.3638
Cheal-C4,Clean,689.915,8.5,10.693,2.289,120.834,122.736,0.328,3.007,21.291,15.585,6.864,638.4771
Cheal-C4,Clean,690.067,8.5,10.701,2.3,120.837,121.16,0.351,3.041,21.595,15.832,6.776,638.5909
Cheal-C4,Clean,690.22,8.5,10.689,2.297,120.75,120.709,0.362,3.038,22.106,16.199,6.742,638.7072
Cheal-C4,Clean,690.372,8.5,10.637,2.301,120.75,127.406,0.362,3.01,22.602,16.548,6.708,638.8227
Cheal-C4,Clean,690.524,8.5,10.58,2.302,120,128.006,0.328,2.989,23.086,16.809,6.688,638.9377
Cheal-C4,Clean,690.677,8.5,10.58,2.308,120.75,131.036,0.339,3.01,23.332,16.93,6.62,639.051
Cheal-C4,Clean,690.829,8.5,10.54,2.306,120.75,129.854,0.333,3.037,22.978,16.643,6.552,639.1635
Cheal-C4,Clean,690.982,8.5,10.46,2.304,119.999,128.892,0.351,3.041,22.844,16.49,6.492,639.2767
Cheal-C4,Clean,691.134,8.5,10.472,2.304,120.001,131.18,0.348,3.012,22.767,16.42,6.463,639.3918
Cheal-C4,Clean,691.286,8.5,10.404,2.302,120,129.545,0.354,2.979,22.338,16.17,6.332,639.5073
